After_The_Rain_valence_rmse,After_The_Rain_valence_corr,After_The_Rain_arousal_rmse,After_The_Rain_arousal_corr,Attitude_Matters_valence_rmse,Attitude_Matters_valence_corr,Attitude_Matters_arousal_rmse,Attitude_Matters_arousal_corr,Barely_legal_stories_valence_rmse,Barely_legal_stories_valence_corr,Barely_legal_stories_arousal_rmse,Barely_legal_stories_arousal_corr,Between_Viewings_valence_rmse,Between_Viewings_valence_corr,Between_Viewings_arousal_rmse,Between_Viewings_arousal_corr,Big_Buck_Bunny_valence_rmse,Big_Buck_Bunny_valence_corr,Big_Buck_Bunny_arousal_rmse,Big_Buck_Bunny_arousal_corr,Chatter_valence_rmse,Chatter_valence_corr,Chatter_arousal_rmse,Chatter_arousal_corr,Cloudland_valence_rmse,Cloudland_valence_corr,Cloudland_arousal_rmse,Cloudland_arousal_corr,Damaged_Kung_Fu_valence_rmse,Damaged_Kung_Fu_valence_corr,Damaged_Kung_Fu_arousal_rmse,Damaged_Kung_Fu_arousal_corr,Decay_valence_rmse,Decay_valence_corr,Decay_arousal_rmse,Decay_arousal_corr,Elephant_s_Dream_valence_rmse,Elephant_s_Dream_valence_corr,Elephant_s_Dream_arousal_rmse,Elephant_s_Dream_arousal_corr,First_Bite_valence_rmse,First_Bite_valence_corr,First_Bite_arousal_rmse,First_Bite_arousal_corr,Full_Service_valence_rmse,Full_Service_valence_corr,Full_Service_arousal_rmse,Full_Service_arousal_corr,Islands_valence_rmse,Islands_valence_corr,Islands_arousal_rmse,Islands_arousal_corr,Lesson_Learned_valence_rmse,Lesson_Learned_valence_corr,Lesson_Learned_arousal_rmse,Lesson_Learned_arousal_corr,Norm_valence_rmse,Norm_valence_corr,Norm_arousal_rmse,Norm_arousal_corr,Nuclear_Family_valence_rmse,Nuclear_Family_valence_corr,Nuclear_Family_arousal_rmse,Nuclear_Family_arousal_corr,On_time_valence_rmse,On_time_valence_corr,On_time_arousal_rmse,On_time_arousal_corr,Origami_valence_rmse,Origami_valence_corr,Origami_arousal_rmse,Origami_arousal_corr,Parafundit_valence_rmse,Parafundit_valence_corr,Parafundit_arousal_rmse,Parafundit_arousal_corr,Payload_valence_rmse,Payload_valence_corr,Payload_arousal_rmse,Payload_arousal_corr,Riding_The_Rails_valence_rmse,Riding_The_Rails_valence_corr,Riding_The_Rails_arousal_rmse,Riding_The_Rails_arousal_corr,Sintel_valence_rmse,Sintel_valence_corr,Sintel_arousal_rmse,Sintel_arousal_corr,Spaceman_valence_rmse,Spaceman_valence_corr,Spaceman_arousal_rmse,Spaceman_arousal_corr,Superhero_valence_rmse,Superhero_valence_corr,Superhero_arousal_rmse,Superhero_arousal_corr,Tears_of_Steel_valence_rmse,Tears_of_Steel_valence_corr,Tears_of_Steel_arousal_rmse,Tears_of_Steel_arousal_corr,The_room_of_franz_kafka_valence_rmse,The_room_of_franz_kafka_valence_corr,The_room_of_franz_kafka_arousal_rmse,The_room_of_franz_kafka_arousal_corr,The_secret_number_valence_rmse,The_secret_number_valence_corr,The_secret_number_arousal_rmse,The_secret_number_arousal_corr,To_Claire_From_Sonny_valence_rmse,To_Claire_From_Sonny_valence_corr,To_Claire_From_Sonny_arousal_rmse,To_Claire_From_Sonny_arousal_corr,Wanted_valence_rmse,Wanted_valence_corr,Wanted_arousal_rmse,Wanted_arousal_corr,You_Again_valence_rmse,You_Again_valence_corr,You_Again_arousal_rmse,You_Again_arousal_corr
0.258641,-0.187902,0.27629,0.280978,0.29839,0.066784,0.252225,0.067033,0.252679,0.262074,0.340047,0.335914,0.254156,0.277337,0.181864,0.156899,0.400132,0.053456,0.391888,0.29927,0.414604,0.191226,0.454498,0.20134,0.24048,0.30026,0.259347,-0.036322,0.347995,0.226716,0.212107,0.10797,0.429367,0.080473,0.314292,-0.070354,0.322979,-0.119545,0.20531,0.329814,0.150958,0.067857,0.216704,-0.011193,0.427515,-0.025671,0.264708,-0.043534,0.656674,-0.240376,0.160648,0.475241,0.379512,-0.112145,0.320141,-0.02617,0.186309,0.162586,0.209802,0.527702,0.299955,0.049995,0.197558,0.31703,0.288186,-0.32807,0.587901,-0.233131,0.42272,0.013073,0.39977,0.150033,0.280468,-0.313473,0.234535,-0.108986,0.130647,0.156011,0.200583,0.340052,0.342291,0.019484,0.216367,0.390736,0.306053,0.319166,0.325926,0.144843,0.300018,0.004382,0.218629,0.031656,0.438683,0.063881,0.220414,0.089946,0.176902,-0.058705,0.192218,0.036801,0.148321,-0.082211,0.535974,-0.096763,0.259795,0.093284,0.198297,0.16184,0.324749,0.697652,0.399266,-0.118201,0.524374,0.556703,0.350231,-0.597178,0.265326,-0.0984,0.151866,0.341024
0.223442,-0.424347,0.2815,0.004738,0.285391,-0.084907,0.254703,0.042073,0.256256,0.218862,0.323898,0.201723,0.231676,0.200043,0.177716,0.07494,0.424699,0.086859,0.352008,0.237022,0.4735,0.110857,0.459766,0.142084,0.249027,0.283851,0.258328,0.168961,0.353816,0.141716,0.219949,0.063657,0.492139,0.146293,0.313749,-0.153738,0.321025,-0.110257,0.163189,0.064648,0.142234,0.099828,0.249245,-0.063384,0.39592,-0.095834,0.275154,-0.085886,0.705251,-0.301577,0.115689,-0.045464,0.390139,-0.115091,0.292133,0.120721,0.16088,0.105839,0.224975,0.209995,0.301144,0.097474,0.20445,0.264239,0.287593,-0.274972,0.543673,0.007809,0.44961,0.041722,0.382155,0.235118,0.285877,-0.532684,0.251483,-0.388067,0.168137,0.067754,0.17343,0.20834,0.354284,-0.003891,0.201674,0.06552,0.311367,0.316096,0.287463,-0.060851,0.290027,0.117362,0.230558,-0.099278,0.47004,-0.047943,0.222616,0.119248,0.190902,-0.049615,0.16344,0.155644,0.140016,-0.288591,0.428682,0.212577,0.252698,-0.030897,0.243283,-0.075285,0.320351,0.723432,0.399013,-0.16881,0.540607,0.52616,0.297718,-0.505686,0.279198,-0.214928,0.153695,0.208845
0.224743,-0.429379,0.295839,-0.011853,0.277041,-0.202319,0.25923,0.095598,0.255573,0.217938,0.328177,0.24024,0.210617,0.129222,0.179983,0.030653,0.470305,-0.055816,0.336135,0.05695,0.532054,-0.148183,0.476338,0.206058,0.243525,0.242422,0.261362,0.232836,0.364766,0.08615,0.221321,0.075131,0.604922,0.103284,0.317718,-0.141147,0.336706,-0.182171,0.169039,0.151947,0.148264,-0.016382,0.273854,-0.078039,0.394391,0.196139,0.275549,-0.061943,0.791727,-0.400674,0.092522,0.132826,0.420915,0.097377,0.283131,0.051985,0.170437,0.050317,0.224172,0.220208,0.296361,0.090008,0.211334,0.200416,0.313052,-0.381942,0.548896,-0.074061,0.48954,-0.07225,0.3753,0.163868,0.286562,-0.358448,0.256833,-0.214135,0.299225,-0.232404,0.169873,0.147818,0.371704,-0.058233,0.199588,0.042621,0.336553,0.127497,0.276823,-0.068056,0.299142,-0.081711,0.249395,-0.055223,0.503938,-0.093522,0.224886,0.133097,0.232689,-0.179795,0.157864,0.170441,0.177343,-0.11481,0.391327,0.221885,0.238959,-0.069125,0.277575,-0.081606,0.318444,0.531901,0.386883,-0.142953,0.551322,0.343768,0.289143,-0.416056,0.288108,-0.179053,0.150445,0.188297
0.247293,-0.339657,0.321002,0.035367,0.319931,-0.118346,0.266751,0.089067,0.260914,0.00081,0.345323,0.172306,0.208038,-0.103778,0.186411,-0.062154,0.535344,-0.303272,0.335899,-0.039819,0.591294,-0.353002,0.499422,0.185057,0.246247,0.040412,0.269621,0.169588,0.399139,-0.186471,0.220806,0.153788,0.887129,-0.016035,0.320485,-0.14353,0.38229,-0.335019,0.200081,0.202787,0.195375,-0.375766,0.292112,0.059511,0.430313,0.121865,0.278311,-0.02102,0.899086,-0.44889,0.083921,0.278418,0.426602,-0.040256,0.285806,0.02616,0.193259,-0.061509,0.225113,0.040248,0.302,-0.045128,0.225499,0.028991,0.364406,-0.421109,0.555386,-0.120748,0.585373,-0.529372,0.370891,0.031479,0.270085,0.211967,0.255777,0.156963,0.462307,-0.586445,0.169228,0.021086,0.385138,-0.32316,0.205193,0.009717,0.401775,-0.204825,0.277562,-0.023398,0.318647,-0.151834,0.2608,-0.050341,0.524275,-0.022608,0.221731,0.145518,0.301205,-0.461679,0.155367,0.040034,0.214501,0.04397,0.37016,0.222005,0.259244,-0.330446,0.304098,-0.131581,0.308506,0.172046,0.378764,0.073077,0.525916,-0.166004,0.278072,-0.323935,0.305568,-0.33361,0.148936,0.136455
0.284977,-0.645665,0.341942,-0.078471,0.359772,-0.289574,0.267417,0.05743,0.269918,-0.248261,0.360241,-0.004828,0.20772,-0.04527,0.199972,-0.013641,0.65609,-0.472906,0.338657,-0.065119,0.727115,-0.445909,0.504595,0.018296,0.244387,0.080478,0.282947,0.152335,0.44695,-0.134296,0.219941,0.241764,1.333248,-0.046514,0.32282,-0.175346,0.480125,-0.485791,0.214574,0.120924,0.240943,-0.504434,0.308978,0.020674,0.477253,-0.432881,0.279767,0.138937,1.052018,-0.583007,0.103585,0.289218,0.449799,-0.37561,0.297027,-0.058967,0.21538,-0.06927,0.227527,0.054939,0.335015,-0.288623,0.242314,-0.077107,0.455939,-0.591873,0.560452,-0.090671,0.74056,-0.622566,0.366353,0.002522,0.258666,-0.031565,0.251248,0.220129,0.708301,-0.6662,0.170938,-0.065677,0.438116,-0.376623,0.210676,0.040098,0.52571,-0.283571,0.280399,0.051599,0.350834,-0.42838,0.269934,-0.049073,0.549489,-0.264444,0.225356,0.170018,0.382704,-0.654222,0.153562,0.042869,0.296738,-0.173521,0.345836,0.17755,0.285322,-0.605021,0.33823,-0.193635,0.285899,0.278897,0.383019,0.091399,0.545957,-0.346765,0.253935,-0.052096,0.331038,-0.396656,0.150997,-0.004285
VALENCE,rmse,corr,ccc,shift
h0,0.336,0.515,0.091
h1,0.334,0.273,0.092,10
h2,0.353,0.112,0.067,10
h3,0.397,-0.018,-0.015,10
h4,0.495,-0.207,-0.198,1
h5,0.671,-0.317,-0.293,1
AROUSAL,rmse,corr,ccc,shift
h0,0.44,0.213,0.071
h1,0.273,0.343,0.236,25
h2,0.273,0.342,0.242,25
h3,0.276,0.323,0.24,25
h4,0.282,0.295,0.232,25
h5,0.293,0.252,0.212,25
